file_name,height,width,bbox,age,race,masked,skintone,emotion,gender
10151517.jpg,2433,1749,"[539.2855052384105, 717.9999999999947, 645.3338211103628, 825.1613347258102]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10152563.jpg,2000,1333,"[540.7418849961368, 786.3081575600074, 266.7861392151872, 319.183318207106]",20-30s,Mongoloid,masked,mid-light,Neutral,Male
101530595.jpg,1209,2000,"[1457.8597635830315, 259.8780852840964, 149.35059104242924, 207.2089966558347]",Kid,Caucasian,unmasked,light,Neutral,Female
101533397.jpg,1333,2000,"[602.9999999999977, 264.01773444639355, 260.2315168826698, 350.2102572521492]",20-30s,Mongoloid,unmasked,light,Neutral,Male
101557011.jpg,1333,2000,"[657.4114553450688, 300.95484599535024, 221.8331735699737, 314.63159973542196]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
101558170.jpg,1333,2000,"[845.0002500625088, 260.99999999999807, 89.99824956239196, 120.9999999999995]",40-50s,Caucasian,unmasked,light,Happiness,Male
101590632.jpg,1335,2000,"[726.703707295795, 165.65425527942435, 64.92905422146313, 112.3457447205753]",20-30s,Mongoloid,unmasked,light,Happiness,Female
101649822.jpg,1333,2000,"[875.7166517299444, 177.9999999999993, 176.9003266225881, 240.99999999999923]",20-30s,Caucasian,unmasked,light,Happiness,Female
1016585.jpg,2000,1330,"[364.4057119215256, 445.87771461441326, 440.38668771017507, 729.650770931309]",20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
101671855.jpg,625,2000,"[1000.8264462809908, 95.95867768595032, 220.34710743801608, 252.8151480280362]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
101677134.jpg,1333,2000,"[1090.0037509377278, 282.99999999999767, 250.99624906225898, 305.999999999998]",20-30s,Mongoloid,unmasked,light,Happiness,Male
10168062.jpg,1333,2000,"[1382.4619469346712, 438.8235698125205, 81.45031603732563, 106.31863081770913]",20-30s,Mongoloid,unmasked,light,Happiness,Female
101694960.jpg,2000,1333,"[385.0077330895757, 127.99999999999862, 379.9828153564848, 417.9999999999959]",40-50s,Mongoloid,unmasked,light,Happiness,Female
101710664.jpg,1333,2000,"[519.0040010002457, 330.9999999999971, 239.99424856213707, 306.9999999999949]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Male
101716479.jpg,1333,2000,"[974.7524133233187, 211.05565936948412, 89.19781006247035, 122.02632649492031]",20-30s,Caucasian,unmasked,light,Happiness,Female
101717017.jpg,1278,2000,"[531.5113676928519, 299.9999999999994, 330.694798240834, 430.5568833815947]",20-30s,Mongoloid,unmasked,mid-dark,Happiness,Female
101718982.jpg,1333,2000,"[871.6258183525287, 232.81563999206818, 237.3920273836422, 349.7477535438224]",20-30s,Caucasian,unmasked,light,Happiness,Female
101781059.jpg,1501,2000,"[804.9096491760421, 289.829619753427, 372.03188852609486, 532.1918144642109]",20-30s,Caucasian,unmasked,light,Neutral,Female
101819080.jpg,2000,1333,"[539.8653775093721, 436.05757850778315, 125.4601815850331, 165.44679615193328]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
101835746.jpg,721,2000,"[1504.307932252708, 114.27944175559067, 46.82529710445329, 66.02606906430933]",20-30s,Caucasian,unmasked,light,Happiness,Female
101835746.jpg,721,2000,"[1179.813401047065, 124.09557246908886, 49.80782508518946, 72.9383887479835]",20-30s,Caucasian,unmasked,light,Neutral,Female
101835746.jpg,721,2000,"[848.5984121871273, 118.49608682515225, 47.12848877717999, 68.2080004405857]",20-30s,Caucasian,unmasked,light,Happiness,Female
101835746.jpg,721,2000,"[470.56823253169784, 136.43311250673352, 46.29720500178167, 64.70893211720814]",20-30s,Caucasian,unmasked,light,Happiness,Female
101835746.jpg,721,2000,"[96.45608395181988, 133.24623398113232, 62.91478225126534, 68.45220317703009]",20-30s,Caucasian,unmasked,light,Happiness,Female
101835746.jpg,721,2000,"[1804.0009910403633, 127.23681305518419, 46.775403434250784, 72.42324311215678]",20-30s,Caucasian,unmasked,light,Happiness,Female
10184002.jpg,1333,2000,"[600.2070424559683, 341.350853352567, 307.7638809202008, 316.8220381089759]",20-30s,Mongoloid,unmasked,light,Surprise,Female
101889210.jpg,1333,2000,"[120.79796422722127, 135.84900821533807, 393.01055440122474, 508.0043102852247]",20-30s,Mongoloid,unmasked,light,Neutral,Male
101917223.jpg,1333,2000,"[1312.0000000000016, 274.58490450115096, 225.80864750742694, 241.7361161875048]",20-30s,Caucasian,unmasked,light,Happiness,Female
101920313.jpg,1333,2000,"[1309.7212689137893, 242.98993388102562, 285.2893605948836, 380.9043124900259]",20-30s,Mongoloid,unmasked,light,Happiness,Female
101941115.jpg,2000,1500,"[612.7853172053499, 636.7137662127267, 150.27985544416617, 220.9500346716004]",Baby,Caucasian,unmasked,light,Neutral,Female
101957670.jpg,666,2000,"[890.635600515556, 107.53302985461262, 206.23922977776277, 258.4669701453835]",40-50s,Caucasian,unmasked,mid-light,Neutral,Female
101965764.jpg,1333,2000,"[963.515307432782, 607.8741074574326, 50.927119692601075, 60.826689770177396]",Kid,Caucasian,unmasked,mid-light,Happiness,Male
101974255.jpg,1333,2000,"[1157.5719426483354, 452.500769705575, 149.00226291586802, 279.71907687323295]",20-30s,Caucasian,unmasked,light,Happiness,Female
10201262.jpg,1333,2000,"[786.4428297668184, 237.10616004754874, 444.9286170552644, 644.6508299742299]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10201818.jpg,2000,1333,"[650.0429551972413, 543.1086651593916, 174.93556720413787, 206.8913348406046]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
102037099.jpg,2000,1124,"[792.5801618247957, 1110.8806989728378, 40.05997688217428, 51.88069897282422]",40-50s,Caucasian,unmasked,mid-light,Neutral,Male
102037099.jpg,2000,1124,"[777.9796586413955, 1301.1324738862202, 38.13767720715398, 45.2159031784099]",40-50s,Caucasian,unmasked,mid-light,Neutral,Male
102037099.jpg,2000,1124,"[426.97177767925615, 1355.5328573977447, 34.606410799084586, 50.16139258854844]",40-50s,Caucasian,unmasked,light,Fear,Male
102037099.jpg,2000,1124,"[395.190380006627, 654.686358132393, 40.96269033361108, 38.15091830678295]",40-50s,Caucasian,unmasked,light,Fear,Male
102037099.jpg,2000,1124,"[526.5097237545876, 1390.8577817558773, 22.60010501164693, 43.80290620408488]",40-50s,Caucasian,unmasked,light,Neutral,Male
102213101.jpg,1333,2000,"[946.7356120772214, 253.02221409999336, 162.2643879227804, 256.97778590000667]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Male
102306996.jpg,1333,2000,"[644.3343990945302, 335.2009557187397, 226.19961632596934, 272.9330147604192]",Teenager,Mongoloid,unmasked,light,Happiness,Female
102361409.jpg,1333,2000,"[413.6209754836582, 302.88977558738804, 165.77388629872715, 220.11022441261218]",40-50s,Mongoloid,unmasked,light,Happiness,Male
102366586.jpg,1334,2000,"[844.0050162062988, 172.00000000000003, 296.9921621776593, 392.9999999999997]",20-30s,Mongoloid,unmasked,light,Happiness,Female
102458272.jpg,1333,2000,"[436.4130464860594, 165.54417030231534, 199.53136761451026, 209.45582969768336]",20-30s,Caucasian,unmasked,light,Anger,Male
102488244.jpg,1333,2000,"[981.7776564022715, 138.623859530946, 348.5094463798291, 495.56149076249085]",20-30s,Mongoloid,unmasked,mid-light,Neutral,Female
102489231.jpg,1125,2000,"[1096.0000000000002, 209.99999999999994, 312.99999999999903, 400.99999999999994]",Senior,Caucasian,unmasked,mid-light,Happiness,Female
102567826.jpg,625,2000,"[939.4080547307533, 92.6154986042283, 121.63456176605331, 174.58973816170356]",Senior,Caucasian,unmasked,light,Happiness,Male
102582250.jpg,1333,2000,"[568.112511999671, 165.21025725215029, 252.6717563875861, 366.7897427478525]",20-30s,Mongoloid,unmasked,light,Happiness,Male
10259920.jpg,2000,2000,"[1224.5050735605694, 247.0000000000001, 363.49492643943165, 455.99999999999994]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10259947.jpg,1333,2000,"[883.9999999999984, 234.99999999999898, 302.508463483987, 341.2279916985451]",20-30s,Mongoloid,unmasked,light,Sadness,Female
10261141.jpg,1329,2000,"[935.1512398362103, 253.9138378825441, 239.8487601637855, 312.0861621174559]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
102630150.jpg,1125,2000,"[888.1321433034028, 242.9852574162042, 279.2318692578465, 293.3540260667932]",Senior,Caucasian,unmasked,light,Fear,Female
102672611.jpg,1333,2000,"[854.0143824485936, 543.5124780150924, 585.4421897077201, 533.5147276224604]",Kid,Negroid,unmasked,mid-light,Happiness,Female
102680198.jpg,1333,2000,"[916.6117987068026, 363.0000000000002, 199.388201293197, 274.9280316875008]",20-30s,Caucasian,unmasked,light,Happiness,Female
102702080.jpg,1333,2000,"[661.7825445283265, 196.2177029464118, 294.0861513929151, 433.4703672881125]",20-30s,Caucasian,unmasked,light,Happiness,Female
102703056.jpg,2000,1756,"[1113.1336481844044, 185.05504819485563, 344.1893456152911, 485.72042111263124]",20-30s,Caucasian,unmasked,light,Happiness,Female
102721895.jpg,2000,1333,"[656.7123377711762, 200.14808055797747, 150.25308168269999, 199.78124068008276]",20-30s,Caucasian,unmasked,light,Neutral,Female
102747326.jpg,1333,2000,"[993.8888282011362, 110.78229705358831, 287.1111717988613, 396.2607785391976]",40-50s,Mongoloid,unmasked,light,Happiness,Female
102776126.jpg,1333,2000,"[1137.2102764352273, 210.94632307406533, 219.80665053274518, 325.78204317327254]",20-30s,Caucasian,unmasked,light,Happiness,Female
102799587.jpg,1333,2000,"[980.7841869396858, 209.48784024218213, 157.6454360514013, 217.16665720099797]",40-50s,Caucasian,unmasked,light,Happiness,Female
102800986.jpg,1333,2000,"[1076.1313040787518, 368.0177344463951, 204.8686959212465, 282.98226555360424]",40-50s,Caucasian,unmasked,light,Happiness,Female
102801000.jpg,1333,2000,"[888.0000000000001, 275.0, 193.0, 248.0]",40-50s,Caucasian,unmasked,light,Neutral,Female
1028277.jpg,1328,2000,"[737.4820661726435, 344.77135861894186, 105.8182385189274, 144.1616902863527]",20-30s,Mongoloid,unmasked,mid-light,Neutral,Female
102830900.jpg,625,2000,"[1180.4818854020932, 128.79106593822146, 62.05773487990957, 66.8899800157213]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
10283777.jpg,2000,1333,"[592.54679760377, 313.13223140495444, 270.73080324195274, 368.0277436467098]",Senior,Mongoloid,unmasked,light,Happiness,Female
10285931.jpg,2000,1333,"[826.7561544650056, 394.00000000000125, 415.2547632341086, 512.1776303497318]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10286029.jpg,2000,1333,"[516.7588897827828, 325.65499999999787, 458.5923133182167, 602.3449999999985]",20-30s,Mongoloid,unmasked,light,Happiness,Female
102923768.jpg,1333,2000,"[1081.13677737131, 274.9999999999993, 190.82902828585938, 259.99999999999847]",20-30s,Mongoloid,unmasked,light,Happiness,Female
10296509.jpg,1333,2000,"[1216.8802948028972, 282.986610079064, 273.8185996862, 359.03383278800396]",20-30s,Mongoloid,unmasked,light,Happiness,Female
103032323.jpg,1333,2000,"[1020.00350087522, 290.99999999999943, 245.99649912477958, 330.4868519909824]",Senior,Mongoloid,unmasked,mid-light,Neutral,Male
103037461.jpg,2000,1333,"[330.6855980266334, 299.8368529223642, 360.69400211431065, 446.4131428312418]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
10305625.jpg,1333,2000,"[942.9989997499341, 387.9999999999989, 244.99874968742148, 273.9999999999985]",20-30s,Mongoloid,unmasked,light,Happiness,Female
103059321.jpg,2000,1333,"[486.49589702332986, 380.9299999999956, 658.5041029766666, 701.9790909090887]",Kid,Negroid,unmasked,mid-light,Happiness,Female
103172293.jpg,2000,1333,"[614.9853930530148, 637.9999999999944, 415.0223400365617, 550.9999999999962]",20-30s,Mongoloid,unmasked,light,Neutral,Female
103205080.jpg,1333,2000,"[592.00100025006, 342.99999999999835, 242.9982495623883, 308.9999999999987]",20-30s,Mongoloid,unmasked,light,Happiness,Male
103206497.jpg,1098,2000,"[412.99999999999955, 121.99999999999987, 193.99999999999966, 235.99990778097995]",20-30s,Caucasian,unmasked,light,Neutral,Male
103217572.jpg,1333,2000,"[271.99999999999875, 179.0795854027203, 410.2281395075585, 565.6344540900404]",20-30s,Mongoloid,unmasked,light,Happiness,Female
103241757.jpg,1334,2000,"[698.0021945902558, 163.00000000000162, 424.9921621776585, 580.999999999999]",40-50s,Mongoloid,unmasked,light,Happiness,Female
10330518.jpg,2000,1333,"[484.2781151291962, 29.684700000000536, 652.1345943725618, 937.4357415805243]",20-30s,Mongoloid,unmasked,light,Neutral,Female
103329072.jpg,1333,2000,"[725.0015003750922, 277.99999999999795, 290.99774943735684, 349.9999999999988]",Senior,Mongoloid,unmasked,light,Neutral,Male
103370028.jpg,1367,2000,"[699.8228479013626, 116.18421365522973, 240.58538201409053, 316.4066670853078]",20-30s,Caucasian,unmasked,light,Happiness,Female
103376194.jpg,1333,2000,"[1313.333275436381, 265.99999999999994, 151.77972659557997, 185.18106592304719]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
103437146.jpg,1333,2000,"[842.0050012503037, 65.99999999999976, 358.99299824955483, 498.9999999999928]",20-30s,Mongoloid,unmasked,light,Happiness,Female
103437212.jpg,2000,1335,"[464.20133450328785, 573.196177125031, 180.0573874135877, 213.81459953046527]",20-30s,Mongoloid,unmasked,light,Happiness,Male
103438729.jpg,1333,2000,"[927.3635466472654, 296.09948293479334, 229.13655204072867, 294.9005170651983]",20-30s,Mongoloid,unmasked,light,Happiness,Male
103440257.jpg,1330,2000,"[765.0018110970842, 290.9999999999999, 53.9979876699066, 152.9999999999997]",40-50s,Caucasian,unmasked,mid-light,Neutral,Male
103461815.jpg,1125,2000,"[839.9226906580191, 11.848101265822763, 720.6162778533317, 918.9999999999991]",Kid,Caucasian,unmasked,light,Sadness,Female
103500128.jpg,1334,2000,"[793.110935243673, 301.00000000000017, 534.5601909409037, 722.5561415522643]",20-30s,Mongoloid,unmasked,light,Neutral,Female
103530728.jpg,1333,2000,"[1172.0025006251533, 197.9999999999987, 179.9979994998712, 225.99999999999855]",20-30s,Mongoloid,unmasked,light,Happiness,Female
103549661.jpg,1333,2000,"[675.0000000000001, 353.9999999999997, 195.1015063666108, 283.57214002125494]",Kid,Caucasian,unmasked,light,Happiness,Male
103571822.jpg,1333,2000,"[717.461728786501, 405.59971992338666, 216.07176383328698, 293.9013751861179]",20-30s,Mongoloid,unmasked,light,Happiness,Female
103601702.jpg,1333,2000,"[1007.381445889383, 322.3577804561103, 414.022674454391, 465.97199508801435]",Kid,Caucasian,unmasked,light,Sadness,Male
103632343.jpg,1333,2000,"[1137.9999999999945, 210.2512195121936, 244.99649912478444, 323.74878048780204]",20-30s,Caucasian,unmasked,light,Happiness,Female
103639814.jpg,1333,2000,"[1042.1415313325156, 309.99999999999943, 217.51341612598804, 311.4441469463361]",40-50s,Mongoloid,unmasked,light,Happiness,Male
